Schwann cells;Ng2+ MSCs;Osteoblasts;Chondrocytes;Fibroblast/Chondrocyte progenitors;Sinusoidal endothelial cells;Arterial endothelial cells;Adipo-CAR;Osteo-CAR;Smooth muscle cells;Myofibroblasts;Stromal fibroblasts;Arteriolar fibroblasts;Endosteal fibroblasts;Erythroblasts;Erythroid progenitors;Neutrophil progenitors;Monocyte progenitors;Granulocyte/Monocyte progenitors;Eosinophil/Basophil progenitors;Lymphoid-primed multipotent progenitors;Erythroid/Megakaryocyte progenitors;Megakaryocyte progenitors;large pre-B cells;pro-B cells;Monocytes;Neutrophils;T cells;NK cells;Dendritic cells;small pre-B cells;B cells
Josd2;Dmp1;Cfh;Rgcc;Col5a2;Plpp3;Jam2;Slc29a1;Lhfp;Ccnl1;Tpt1;Tppp3;Lrp1;Myoc;E2f4;Gsto1;Tmed2;Cd48;Napsa;Marcksl1;Rpl36;Ifrd1;Rpl4;Rac2;Oaz1;Tpd52;AA467197;H2-K1;Ncr1;Pgls;Tsc22d3;Gimap1
Cers2;Bglap2;Sp7;Fos;Emp1;Junb;Tpm4;Sepp1;Fhl2;Gadd45b;Map1lc3a;Ftl1;Igf1;Efemp1;Gnb2l1;Gnb2l1;Ybx1;Pdia6;Sephs2;Rgs18;mt-Co1;Ccnl1;Rabgap1l;Smarca4;H2-K1;Serp1;Mmp9;Tpt1;Klf2;Rpl31;Snx2;Il2rg
Sept8;Tsc22d1;Nrp2;Cytl1;Crip1;Plk2;Tspan13;B2m;Dlx5;Nr4a1;Itm2a;Bhlhe40;Fos;Anxa3;Fth1;Rangrf;Mif;Hmgn2;Igsf6;Mcpt8;Ccl4;Rpl10a;Sord;Cd24a;Cplx2;Plbd1;G0s2;Ptprc;Prdx5;H2-DMa;Sh3bgrl3;Lcp1
Tmem88b;Id3;Gpx8;Dhx58os;Junb;Pim3;Cd200;Gadd45g;Mmp14;Lbh;Fosb;Emp1;Malat1;Lgals1;Phb2;Rsl1d1;Nars;Ccr2;Fam107b;Nt5c3;Idh2;Gmfg;Nt5c3;Marcksl1;Paip2;Mcemp1;Ly6c2;Rps18-ps3;Cd28;Lgals1;Hmgb2;Cd83
Tecr;Gm10076;Ift20;Clec11a;Serpine2;Rasip1;Ehd2;Fst;Vcam1;Casq2;Gm2000;Nupr1;Gpx8;Ugp2;Rpl27a;Rps17;Rasgrp2;Bloc1s2;Spi1;Gpi1;Mif;Rps7;Tmem123;Vpreb2;Gm30948;Taldo1;Dhrs7;Sept1;Actr3;Hs3st1;Ptp4a3;Ctss
Gnai1;Emilin1;Cnpy2;Emp1;Higd1a;Cd300lg;Fxyd5;Ebf1;Tnfrsf19;Ndrg2;Tubb6;Cd302;Ogn;Thy1;Ces2g;Blvrb;Pabpc1;Sell;Adssl1;Rab44;Gmfg;Plac8;Ncl;Elof1;Il16;Capza2;Limd2;Gimap6;Cd53;Ccnd1;Slamf6;Bank1
Pcyt2;Calm2;Arf4;Bhlhe41;Cd63;Hspb1;Ifitm2;Tmem59;Mxra8;Ckb;Gm9493;Crip1;Aebp1;Marcks;Ndufab1;Abcb4;Msrb1;Serpinb1a;Npm3;Samsn1;Tsc22d1;Muc13;Slc25a5;Fkbp3;Ptgr1;Gnb2;Pygl;Gimap4;Btg2;Ppfia4;Gm9843;Lyn
Gjb1;Plod2;Tmed3;Meg3;Col6a3;Cmtm3;Hspa1a;Cald1;Ptprd;Ppp1r12c;Mt2;Selm;Sepp1;Ftl1;Hmgb2;Tspo2;Ltb4r1;Set;Lcp1;Fam107b;Cnbp;Fermt3;Nsun2;Pcna;Cd53;Capzb;Hcst;Rps28;Cd3d;Blnk;Arpc5;Hmha1
Fam177a;Emp1;Plod2;Col6a3;Col1a1;Ptprb;Cdh13;Foxc1;S100b;Rgs5;Id3;Meg3;Prnp;Ifitm2;Hspe1;Klf1;Slpi;Shfm1;Mrpl33;Tagln2;Tap2;Nop58;Rpl39;Sae1;Slamf6;Samhd1;Itgb2l;Sh3bgrl3;Slfn2;Cd37;Btg2;Dnajc7
Spock3;Mmp14;Lipc;Jund;Gpx3;Laptm4a;Ltbp4;Errfi1;Zeb2;Des;P2ry14;Zfp36l1;Prelp;Gnas;Rpl26;Rps2;Sephs2;Ctsz;Dctpp1;Lat2;Rsl1d1;Ldha;Rfc2;Cd19;Ets1;Csf2ra;Lamtor4;Gm11808;Laptm5;Amica1;Cyba;Rbm39
Olig1;Tspan4;Dapk2;Mdfi;Fosb;Fscn1;Klf4;Fhl2;Comt;Nfkbia;Ppp1r14b;Socs3;Mt1;Islr;Ccnd3;Gnl3;Cycs;Cst7;Srm;Ubb;Rps14;Rpl22l1;Prmt1;Rbm3;Rps26-ps1;Clec4a2;Gsr;Fxyd5;Rpl38;Rnaset2b;H2afv;Ets1
Gjc2;Htra1;Bmp1;Tmed9;Maged1;Il6st;Plk2;Ccl19;Gadd45g;Atp5k;Junb;Tnfaip6;Sod3;Ctsl;Cited4;Tspan32;Tmbim6;Alox5ap;Anxa3;Hnrnpf;Eif4a1;Rps3a1;Srgn;Sumo1;Rpl9-ps6;H2-DMa;Vsir;Rps27rt;Rpl37a;H2-Eb1;mt-Co1;Hcls1
Phyhipl;Alpl;Gm9844;Anxa5;Arl6ip5;Gadd45g;Gja4;Islr;Lmo4;Cpe;Mt1;Nbl1;Fkbp9;Gabarap;Nme1;Ppia;Gng12;Dbi;Pa2g4;Gm20342;Rpl4;Rps4x;Sdpr;Cd37;Comt;Unc93b1;Lcp1;Rps20;Dusp2;Runx2;Ypel3;Napsa
Qk;Cadm1;Gm10263;Fam89a;Tuba1a;Ushbp1;Tmod3;Pcolce;Atraid;Atf3;Crip1;Htra3;Fxyd1;Cd81;Cox6a1;Hsp90ab1;Tm6sf1;Ddost;1110008F13Rik;Spn;Laptm5;B2m;Ybx1;Cdv3;Gm9844;Fam105a;Hmgn2;Rpl35;Ms4a6b;Tnfrsf13b;Hmgb1;Ebf1
Efnb3;Ctsk;Wisp1;Chst11;Lum;Apoe;Cd151;Fos;Fstl1;Ppp1r14a;Serpine1;Hspa5;Emp1;Lrrn4cl;Mdh2;Rab4a;Gyg;Cd53;Gsr;Nucb1;Tax1bp1;Rpl4;Rpl34;2700094K13Rik;Rpl35;Tgfbi;Mettl9;Rplp0;Sh2d1a;Mvb12a;Bach2;Ier2
Wscd1;Rhoc;Mmp2;Ppp1r1b;Dap;Myl12a;Epas1;Sparc;Fgfr2;Uqcr11;Rps26;Ltbp4;Tppp3;Nupr1;Rpl22;Fbl;Actr3;Ssr4;Ndufa4;Rpl32;Rpl37;Nfkbid;Eif4a1;Cks1b;Unc93b1;AI839979;Pirb;Rpl35a;Rps14;Cd53;Hes6;H2-K1
Tspan15;Selm;Vimp;Vimp;Laptm4a;Apold1;S100a16;Cyp1b1;Dpysl3;Cd81;Rps4x;Mxra8;Sepw1;Sod3;Mgst3;Eprs;Spint2;Sptssa;Gusb;Fxyd5;Serinc3;Paip2;F2rl2;Hnrnpk;Arpc5;Ncf4;Dok3;Gimap3;Rpl23a;Cd74;Cfl1;Grap
Kif1b;Gpx8;Gabarap;Gm26917;Cpe;Klf4;Junb;Cdh11;Epdr1;Egr1;Bag3;Gem;Anxa1;Rarres2;Urod;Erh;Fgl2;Cfp;Psma7;;Sell;Rbm39;Dkc1;Lsm5;Ptma;Ms4a6b;Scp2;Rps6;Vasp;Clec12a;mt-Co3;Pkig
Rnf7;Col5a2;Rpl10-ps3;Cd63;Mxra8;Dusp1;Cyb5r3;Epas1;Colec12;4930523C07Rik;Fgfr1;Lgals1;Slc25a4;Igfbp4;Acp1;Rps24;Dmkn;Ccl9;Hspa9;;Ddx5;Tagln2;Rpl28;Coro1a;H3f3b;Anxa2;Cnn2;Rpl23a;Ptpn22;Prdx5;Tnfrsf13c;H2-DMa
Hmgcs1;Fxyd1;Rcn1;S100a1;Col11a1;App;Tspo;Marcks;mt-Nd4;Crip2;Klf4;Fbln2;Gabarap;Rhoa;Hebp1;Ppif;Pde4d;Ctsh;Rsl24d1;;Elf1;Gm15915;Rpl13;Ppp1cc;Zfp706;Ncf2;Arrb2;Rpsa;Ccl4;Tpd52;Pycard;Dok3
Cystm1;Ank;Cd200;Rcan1;Rcn3;Cd151;Laptm4a;Hspa5;Rcn3;Errfi1;Htra3;Myoc;Fcgrt;Plpp3;Fam132a;Ass1;Spi1;2810417H13Rik;Gsto1;;B2m;Clec4d;Anp32b;Nhp2l1;Herpud1;Ucp2;Itgam;Rpl37;Rpl19;H2-D1;Hnrnpa2b1;Calm1
Apbb1;Csf1;Insc;Col12a1;Pkm;Sox18;Emcn;Angptl4;Slc36a2;Mef2c;Zfand5;Sat1;Ahnak;Ptms;Rhag;Myb;Spcs3;Gusb;Cks1b;;Glipr1;;Cct4;Cbx1;Srgn;Crip1;Tmcc1;Ptprcap;Cnn2;Ctsl;Clic1;Prss34
Sypl;Wisp1;Fam221b;Errfi1;Calm2;Psap;Prkcdbp;Il34;Hvcn1;Fermt2;Rpl17;Scara5;Fkbp7;Has1;Arf5;Pebp1;Pgd;Aldoa;Ssr4;;Nop10;;Lat;Ran;Impdh1;Capg;Lsp1;Cyba;Zfp36l2;Gpr171;Cd19;Ccr7
Hdac11;Maged1;Dap;Klf4;Hbegf;Gpm6a;Rras;Id3;Itm2c;Cryab;mt-Cytb;App;Copz2;Lrp1;Fen1;Rpl5;Eif4a1;Coro1a;Gapdh;;Rpl36a;;Nr4a1;Atp1b3;Pten;Pycard;Actb;Thy1;Sp100;Cnp;Ppp1ca;Cnp
Sepp1;Vdr;P3h4;Cyr61;P3h4;Col4a2;F11r;Nupr1;Mpzl1;Itm2b;Rpl35a;Lmna;Olfml3;Emp1;Txnl1;Cct3;Ccl9;Lcp1;Cdca7;;Rps3;;Slc14a1;Tifa;Arpc5l;Ftl1;Ncf2;Rps3;Dok2;Rgs1;Ikzf1;Ly86
Gprc5b;Cdc42ep3;Lgals1;Vkorc1;Trim47;S100a16;Ier2;Aplp2;Insig2;Fosb;Sdpr;Plat;Fbln2;Nenf;Birc5;Pabpc1;Ostc;Gria3;Hnrnpa1;;Zfp36l2;;Sdsl;Tpm4;Fam53b;Selplg;Mmp8;Pfdn5;Thy1;Ptprc;Cecr2;Ifi27l2a
Dusp26;Snhg18;Gm26917;Susd5;Selk;Bst2;Rps27rt;Nnmt;Gpx3;Rbpms2;Pdpn;Mgp;Ptms;Sepw1;Gpx1;Rpl36a;Srm;Lsm5;2700094K13Rik;;Ncl;;Ranbp1;Cox5a;Ube2b;S100a6;Igsf6;Gm10073;Klrc2;H2-T23;Rsph1;Laptm5
Nipa1;Sema7a;Bambi;Ier3;Wif1;Fos;Ramp2;Cyr61;Fap;Gm42726;Pnrc1;;Fn1;Fn1;Mrpl28;Cct8;Ndufa4;Hk3;Apex1;;Ccnd2;;Rpl18a;Rrm2;Bfsp2;Gltp;Arpc1b;Rps5;Rpl9;Prr13;Xrcc6;Junb
Gng11;Eva1b;Tmem176b;Eno1;Spp1;Igfbp4;S100a6;Itm2c;Rspo3;Pls3;Rps7;;Rabac1;Tgfbr2;Rps17;Rps6;Gpx1;Pycard;Pdia4;;Cd53;;Tmem40;Srsf3;Gstt2;Cst3;Myl12b;Slfn2;Cd3g;Pacsin1;Apobec3;Actb
Ndrg1;Creb3l1;Maged2;Fam180a;Ptgis;Cyp4b1;Lims2;Mdk;Auts2;Ubc;Atf3;;Ctsk;Rhoc;Rpl13a;Ebna1bp2;Ppia;Bex6;Cd53;;Dapp1;;Sumo2;Snrpf;Rpl23a-ps3;Rgs2;Actr3;Nkg7;Gzma;Apobec3;Sec11c;mt-Co1
Selk;Sp7;Fxyd1;Tnfrsf11b;Pcolce;Ubb;Edn1;Itm2b;Ctsl;Calm1;Cdh15;;Adamts2;Sparc;Cdc6;Atic;Myl12b;Snrpf;G3bp1;;Sde2;;Nop56;Slc25a5;Sub1;Btg1;Pilra;Ptpn18;Dnajc15;Arhgdib;H2afx;Cdk2ap2
Msmo1;Cnn2;Mxra8;Cpe;Enpp1;F11r;Clec14a;App;Col1a2;mt-Co2;Fgfr4;;Col6a3;Dbn1;Minos1;Bzw2;Tmem165;Arpc1b;2810417H13Rik;;Alox5ap;;Zfand5;Top2a;Snn;Cd53;Mrgpra2b;Saraf;Cdk2ap2;Prkca;Cox7a2l;Tsc22d3
Arl8a;Colec12;Pycr1;Ier5;Itm2c;Bok;Kctd10;Gm10116;Ifnar2;mt-Nd1;Myc;;Phlda3;Fndc1;Mrps24;Rps3;Gsto1;Eif4a1;Ass1;;Morf4l1;;Nop58;Set;Rsph1;Ly6e;B230208H11Rik;H2-D1;Rpl13-ps3;Napsa;Laptm5;H2-Ob
Pex5l;Ctnnb1;Pdia5;Btg1;Cd81;Lrrc58;Arhgap31;Col1a2;Sdc2;Nr4a2;;;Ecm2;Itm2b;Uqcr11;Gtpbp4;Slc25a5;Psmb8;Tmed2;;Emb;;Rgs1;Tmem243;;Ptpn18;Arpc3;Cd8a;Ccnd2;mt-Atp6;Tmem108;Lrmp
Etv1;;Krtcap2;Fgfr3;Cilp;;Fos;Il1rn;Comp;Inpp5a;;;S100a11;Col1a1;Rpl10a;Cks2;Xpc;Ncf4;AI662270;;Rpl34;;Ncor1;Pa2g4;;Cd300a;Lilr4b;Itgb7;S100a10;H2-DMb1;Snn;Rpl13-ps3
Cadm4;;Gm2000;Thbs3;Ppic;;Dusp1;Pdgfrb;Fcgrt;Meox2;;;Tgfbi;Col14a1;Eef1d;Cct5;Prdx5;Fam105a;Actr3;;Rpl11;;Cd9;Ranbp1;;Evi2a;AB124611;Rpl11;Psmb8;Cd47;Il7r;Fam49b
Lrrc58;;Surf4;Syt8;Fgfr1;;Hes1;Gm4951;Socs2;Oaz2;;;Entpd2;Prss23;Rps27a;Prmt1;Dstn;Msrb1;Arpc2;;Sumo2;;Tagln2;Dcun1d5;;Dusp1;Mpc2;Cotl1;Ccl3;Fcer1g;Fam43a;Capg
Ckb;;Cope;Sgk1;Fkbp10;;Jag1;Fgf7;Ggt5;Ndufa5;;;C1s1;Fgfr1;Fech;Lyar;Uchl5;1110008F13Rik;Alox5ap;;;;Runx3;H2afx;;Bin2;Hdc;Hmha1;Fam105a;Hvcn1;Ppp1cc;Cd24a
Tsc22d4;;Dcn;Ppa1;Zbtb20;;Nrp1;Bmp4;Ppic;Itgb1;;;Tmem119;Tmsb10;Cenpa;Metap2;Edem2;Abracl;Bzw2;;;;Atic;Mif;;Tifab;Clec12a;Rpl34;Cd37;Itgb7;Paip2;Rhoh
Prdx1;;Satb2;Islr;Meg3;;Anxa3;Runx1;Gm42726;Rap1a;;;Ltbp4;Efhd1;Tspo2;Cdk6;Alox5ap;Cox5a;Serbp1;;;;Rps5;Rbbp4;;Ostf1;R3hdm4;Cdk2ap2;Rpl9-ps6;Clec10a;Bcl2l1;Ifi30
Car14;;Bmp3;Atf4;Anxa2;;Ubb;Pappa;Hmgn3;Cst3;;;Rarres2;Ebf1;Ccna2;Rps16;S100a11;Cd14;Dbi;;;;Tln1;Serinc3;;Emb;Capg;B2m;Rps15a;Lag3;Apobec1;Nfkbid
Pea15a;;Tmem258;Sox5;Atf3;;Bst2;Htra1;Fos;Ppp1cb;;;Ramp2;Ifitm3;Stard10;Nolc1;Uqcrb;Gpx1;Nrros;;;;Hspa9;Ube2i;;Lamp1;Sat1;mt-Co3;Il2rg;Slc44a2;Ly6d;Jund
Tmeff1;;Tmsb10;Cox4i2;Cyb5r3;;Sox18;Gm42726;Gm26917;Tesc;;;Apod;Nov;Tuba4a;Ermap;Gapdh;Pfn1;Ncl;;;;Cct3;Ywhaq;;Prkcd;Osm;Cd53;Actg1;Irf7;Smim14;mt-Atp6
Acot7;;Rgs3;P3h1;Col8a2;;Clic4;Mme;Abi3bp;Pdlim3;;;Ly6c1;Crip2;Hdgf;Mif;Mgst2;M6pr;Srgn;;;;Rps4x;Ybx1;;Limd2;Mgst2;Rpl4;Rpl18a;Ifnar2;Hvcn1;Fam129c
Mapt;;Id3;Nt5e;Cyr61;;Ece1;Ifnar2;Ccdc80;Tprgl;;;Itgb5;Fhl1;Rplp2;Rpl26;Tmed9;Tifab;Uchl5;;;;Snrpf;Ppp1cb;;Lyn;Hmgb2;Sell;Fam189b;Evi2a;Fam107b;Snn
Snrpn;;Sar1a;Emilin1;Crip2;;Cltb;Rbms1;Cnn2;Atp1b2;;;Ptrf;Fcgrt;Tubb5;Rps9;Pdia4;H2-DMa;Hexa;;;;Rps8;Nono;;Myl12b;Lilrb4a;Wdr89;Arhgap9;Smim14;Gmfg;Pld4
Stmn1;;Arl1;P3h4;Itgb5;;Cyyr1;Gpm6b;Slc29a1;Tcf15;;;Cd302;Thbd;Snrpd1;Pgm1;Glrx;Mif;Ran;;;;Rps16;Hnrnpm;;Fos;Pkm;Epsti1;Rgs2;Tsc22d3;Slamf7;Apobec3
Gstm7;;P4ha2;Snhg18;Comt;;Ppp1r15a;Ctsl;Ogn;Lrrc58;;;Cfh;Capg;Rpl31;Eif2s1;Rpn2;Arhgdib;Cox5a;;;;Myct1;Pfn1;;Eno1;Fpr2;Satb1;Rps11;Scimp;Cdkn2d;
Pcbp4;;Gm10073;F3;Omd;;Ier3;Ggt5;Tle2;Jund;;;C1qtnf2;Gstm1;Lig1;Rpsa;Dars;Tmed3;Lgals1;;;;Nap1l1;Sept1;;Ier2;Fcnb;B4galnt1;Gimap7;Tapbp;Rbm38;
Psat1;;Col5a1;Il17d;Abi3bp;;1810037I17Rik;Zfp36l1;Dpep1;Bcar3;;;Serpinb6a;Cyb5a;Rps2;Rpl29;H2afy;Csf1r;Tkt;;;;;Lockd;;Cfp;Aldh3b1;Fam189b;Rps18-ps3;Psmb8;Ddx54;
Dnajb2;;Ier3ip1;Selk;Scara3;;Tcf4;Hmgn3;St3gal6;Epas1;;;Mxra7;Calm1;Cdca3;Tomm20;AI662270;Erp29;Hsp90b1;;;;;Ctcf;;Igsf6;Gadd45a;Dapl1;Actb;Pltp;Akap12;
Mid1ip1;;Serf1;Fosb;Colec12;;App;Id4;Sp7;Id1;;;Itm2c;Vat1;Pla2g12a;Mfsd2b;Canx;Rpl36al;Lsm5;;;;;Frg1;;C1galt1c1;Ethe1;Cd69;Klra7;Pafah1b3;4930523C07Rik;
S100a16;;Gxylt2;Sdc3;Ier5;;Vegfc;H2-Q10;Kitl;Rbpms;;;Comt;Npdc1;Pcna;Hmgb3;Phgdh;Actr3;H2afj;;;;;Gm8186;;Serf2;Abracl;Txk;Tnfrsf18;Fgfr1op2;Lgals9;
Gstm5;;Lox;Socs1;Ptms;;Plpp1;Lhfp;Ncam1;Ptms;;;Arf4;Tspo;Hsp90aa1;Morf4l2;Bola2;Tmed2;Tm6sf1;;;;;Snrpe;;Prr13;F630028O10Rik;Peli1;Myl6;Rap1a;Arntl;
Cldnd1;;Ctsk;Serpina1b;;;Azin1;Loxl1;Cadm1;Jun;;;Smoc2;Lbp;Rps20;Wdr43;Mrpl44;H2afj;C1qbp;;;;;Parp1;;Asah1;Fam101b;Bin2;Tyrobp;Bmyc;Syk;
Tmbim6;;Clec11a;Foxa3;;;Ubc;Ptx3;Rasl11a;Atp2b1;;;Col14a1;Serpinh1;Atp5f1;Rrs1;Ogfrl1;Calr;Lman2;;;;;Nucks1;;Gpx1;2310001H17Rik;Rps27a;Cd48;AI467606;Actb;
Qdpr;;Comt;Ost4;;;Comt;Cebpb;Smad6;Ift43;;;Prrx2;Smim14;Rplp0;Nme1;Lman2;Lman2;Lta4h;;;;;Hnrnpc;;Atf3;Dgat1;Laptm5;Ctsd;Cib1;Csk;
Tmem189;;Rerg;P4ha2;;;C1qtnf9;Ltbp2;Adamts5;Fos;;;Cd34;Comt;Glo1;Dkc1;Rps29;Ostc;Myb;;;;;Psmd8;;Ethe1;Anxa2;Rpl38;Rpl18;Ly6c2;Gm9493;
Pdlim2;;Ssr4;2810001G20Rik;;;Heg1;Ftl1;Myeov2;Cycs;;;Ddah2;Loxl1;Gmnn;Gstm5;Baz1a;Serf2;Lmnb1;;;;;Tmsb10;;Arpc3;Fcgr3;Rps9;Hsd11b1;Irf5;Prdx5;
Nap1l5;;Xbp1;Ckap4;;;Trim47;Tuba1a;Selm;Actb;;;Igfbp4;Medag;Nasp;Cct7;Suclg1;Capza2;Tspo;;;;;Calm2;;Hck;Pilrb2;Bcl2;Rpl13a-ps1;Dbnl;Ifi27l2a;
Pdgfa;;Gm10320;Hspa5;;;Anxa2;C1s1;H2-Q7;Arf4;;;Axl;Aes;Cox4i1;Mybbp1a;Fam107b;Eif5a;Nkg7;;;;;Cdca7;;Degs1;Plp2;Dnajc15;Rgs1;Ubc;BC035044;
Gal3st1;;Mlip;Fkbp9;;;Rhoc;Prelp;Igf1;Pdgfa;;;Sdc2;Gm10116;Orc6;Optn;Gfi1;2700094K13Rik;Hells;;;;;Pbk;;Grn;Tkt;Cox7a2l;Anxa6;Lat2;Myb;
Fdps;;Efemp2;Kdelr3;;;Arl6ip5;Fkbp9;mt-Cytb;Prss23;;;Loxl1;Slc25a4;Mcm2;Eif3b;Tmem38b;Lamp1;Dkc1;;;;;Anp32a;;Tspo;Arpc2;Gm10036;Cd69;Plaur;Ddx5;
Mapk3;;Lgmn;Eps8l2;;;Sptbn1;Clmp;Id4;Tspan7;;;Emp3;Adamts5;Gpx4;Nop58;Nt5dc2;Rasgrp2;Sell;;;;;Bin1;;Myl6;Cdkn2d;Actr3;Cd27;Klrd1;Gpcpd1;
Golga7;;Alpl;P4hb;;;Pim3;Pdia6;Irx3;Btg1;;;Anpep;Fbln1;Naca;Gart;Mfsd10;Npc2;Ivns1abp;;;;;Ptpn18;;Gm9844;Clec5a;Eef1a1;B4galnt1;Gnas;Tram1;
Bin1;;Lman1;Fap;;;Alpl;Rgs3;Map1lc3a;Cox7a2;;;Lhfp;Emilin2;Gata1;Gata1;Vapa;C1galt1c1;Erp29;;;;;Bcat1;;Pfn1;Fam49b;Ets1;Junb;Khk;Rbm3;
Slco3a1;;Yipf5;Cd109;;;Tmsb4x;Colec12;Pappa;Lmod1;;;Rhoc;Fos;Rpl19;Park7;Set;Rassf4;Rpl22l1;;;;;Tyms;;Wfdc17;Mapk13;Rps21;Cd160;Pkig;Hist3h2a;
Tspan2;;Gja1;Shisa4;;;Cd93;Cfh;Itm2b;Fbxl22;;;Lamp1;Jund;Tk1;Rpl39;Lsm5;Ivns1abp;Parl;;;;;Calm3;;Rassf4;Degs1;Gimap1;Ets1;Arpc5;Gdi2;
Mbnl2;;Tsc22d1;Ldha;;;;Ebf3;H2-Q6;Ier3;;;Tmem100;Sdc2;Siva1;Macrod1;Lamtor2;Idh2;Canx;;;;;Uhrf1;;Fcgr3;Ceacam10;Ccr7;Lcp1;Btg2;Jun;
Sc5d;;Sec61g;Epyc;;;;Vegfc;Tspan4;Gucy1b3;;;Npdc1;Uqcc2;Cks2;Eif3e;Mapkapk3;AI662270;Ctsc;;;;;Lsm2;;Ctsz;Pnkp;Tcf7;Cd3e;Sept1;Lbh;
Hcn2;;Calm2;Steap1;;;;Efemp2;H2-Q4;Hmgn3;;;Jund;Ltbp4;Cyc1;Rps19;Npm3;Tm6sf1;Selplg;;;;;Slbp;;Arpc4;Btg1;Cnn2;Ier5;Pycard;Tubb5;
Osbpl1a;;Kdelr1;Tpbg;;;;Adamts2;Fam69a;Zak;;;Fbln7;Myl6;Fxn;Mrpl12;Serp1;Sap30;Echs1;;;;;Sf3b4;;Tnfaip8l2;Cklf;Prdx5;Cd247;B2m;Oaz1;
Malat1;;Gpx7;Pkm;;;;Mylk;Cdh2;Mcam;;;Htra1;Fxyd1;Rpl5;Adk;Hn1l;Ssr1;Prmt1;;;;;;;Ier5;Gca;Gm8369;Cdc42;Ptprcap;;
Tppp3;;Tbrg1;Cspg4;;;;Igsf3;Pgrmc1;Atp2a2;;;Dstn;Cltb;Oaz1;Slc38a5;Idh2;Fam96a;Fkbp3;;;;;;;Pirb;Ckap4;Sp100;Calm1;Slc35c2;;
Fabp5;;Praf2;Edil3;;;;Olfml2b;Pdlim2;Kif5b;;;Lmna;Entpd2;Rpl23a;Kcnq1ot1;Tma16;Ctss;Sptssa;;;;;;;Ccdc109b;Unc119;mt-Atp6;Sept6;Rnd3;;
Tmcc3;;Rps26-ps1;Socs2;;;;Tnc;Emp2;Map1b;;;Ppic;Pdlim2;Rps8;Naca;2700094K13Rik;Lta4h;Spcs3;;;;;;;Mrpl33;Cd33;Tsc22d3;Efhd2;Hcls1;;
S1pr5;;Sec61b;Junb;;;;Ppib;Pcolce;Pnrc1;;;Psap;Atox1;Cox6b2;Rpl21;H2afj;Vrk1;Ldha;;;;;;;Gm9843;Glipr2;Rps10;Tspo;Sp100;;
Fnta;;Chmp4b;Igfbp7;;;;Plxdc2;Mxd4;Rcan2;;;Ergic3;Mustn1;Bsg;Sdhd;Krtcap2;Lamtor4;Bex6;;;;;;;Ifitm6;Ptpn6;mt-Co1;Rhoh;Itgb2;;
Abca2;;Tuba1a;Cnn3;;;;Igf1;Lmo7;Mafk;;;Itgbl1;Col6a2;Rps15;Prss50;Tax1bp1;Syngr2;Cct8;;;;;;;Scp2;Txn1;Gm2000;Prr13;Cdkn2d;;
Serpinb1a;;Gm10269;Ubb;;;;Cpxm1;Eva1a;Bcr;;;Vkorc1;Nid1;Rpa2;Atp5g2;Stt3b;Dctpp1;Hnrnpu;;;;;;;Lyz1;Actn1;Fyb;Eif4a2;Hhex;;
Ubc;;Ssr3;Omd;;;;Fxyd1;Lrp4;Cdkn1a;;;Thbs3;Prrx1;Hbb-bt;Rrp9;Rpl36al;Krtcap2;Rnpep;;;;;;;Naaa;Arhgap9;Rpl24;Rnaset2b;Mzb1;;
Fam171b;;Timp1;Pde4b;;;;Pdzrn4;Tmem86a;Actn1;;;App;Capns1;Gstm5;Mrps28;Ak2;Vapa;Sec61g;;;;;;;Hcls1;Actg1;H2-Q7;Atp6v1f;Gpcpd1;;
Mpc1;;Omd;S100a10;;;;Lifr;Copz2;Notch3;;;Cyb5a;Lamp1;Rpl24;Rplp1;Fcgr2b;Zfp422;Fam49b;;;;;;;Stx7;Card19;Pnrc1;Rps13;Cd48;;
