Schwann cells;Ng2+ MSCs;Osteoblasts;Chondrocytes;Fibroblast/Chondrocyte progenitors;Sinusoidal endothelial cells;Arterial endothelial cells;Adipo-CAR;Osteo-CAR;Smooth muscle cells;Myofibroblasts;Stromal fibroblasts;Arteriolar fibroblasts;Endosteal fibroblasts;Erythroblasts;Erythroid progenitors;Neutrophil progenitors;Monocyte progenitors;Granulocyte/Monocyte progenitors;Eosinophil/Basophil progenitors;Lymphoid-primed multipotent progenitors;Erythroid/Megakaryocyte progenitors;Megakaryocyte progenitors;large pre-B cells;pro-B cells;Monocytes;Neutrophils;T cells;NK cells;Dendritic cells;small pre-B cells;B cells
Dusp15;;;;;;;;;;;;;;2010107E04Rik;Nob1;;;Parvg;;;;;;;;;;;;;
Otud7b;;;;;;;;;;;;;;Rps25;Kcng2;;;Nipsnap3b;;;;;;;;;;;;;
Ralgds;;;;;;;;;;;;;;Samd14;Hnrnpab;;;Pdcd4;;;;;;;;;;;;;
Pde6d;;;;;;;;;;;;;;Cenpw;Samm50;;;Fbl;;;;;;;;;;;;;
Frmd8;;;;;;;;;;;;;;Emg1;Utp14a;;;Sae1;;;;;;;;;;;;;
Fam134b;;;;;;;;;;;;;;Gtf2a2;Wdr18;;;Ola1;;;;;;;;;;;;;
Gde1;;;;;;;;;;;;;;Slc46a3;Nup62;;;Sypl;;;;;;;;;;;;;
Pigyl;;;;;;;;;;;;;;Scrn3;Dlat;;;;;;;;;;;;;;;;
Calm1;;;;;;;;;;;;;;Mcm5;Phb;;;;;;;;;;;;;;;;
Kif1a;;;;;;;;;;;;;;Prim1;Ppan;;;;;;;;;;;;;;;;
Kcnj10;;;;;;;;;;;;;;D030056L22Rik;Btf3;;;;;;;;;;;;;;;;
Klf13;;;;;;;;;;;;;;Eif3m;Nucks1;;;;;;;;;;;;;;;;
Anapc11;;;;;;;;;;;;;;Tmem56;Nudt5;;;;;;;;;;;;;;;;
Larp6;;;;;;;;;;;;;;Ammecr1;Snrpd3;;;;;;;;;;;;;;;;
Endod1;;;;;;;;;;;;;;Cdk1;Hnrnpd;;;;;;;;;;;;;;;;
1810037I17Rik;;;;;;;;;;;;;;Memo1;Snrpa1;;;;;;;;;;;;;;;;
Aktip;;;;;;;;;;;;;;Prkag1;Dhrs4;;;;;;;;;;;;;;;;
1190005I06Rik;;;;;;;;;;;;;;Rnaseh2b;Ran;;;;;;;;;;;;;;;;
Sft2d1;;;;;;;;;;;;;;Cct8;Nhp2l1;;;;;;;;;;;;;;;;
Gna12;;;;;;;;;;;;;;Gins4;Vdac2;;;;;;;;;;;;;;;;
Bmyc;;;;;;;;;;;;;;Psmc2;Aatf;;;;;;;;;;;;;;;;
Fam213a;;;;;;;;;;;;;;Slc14a1;Dtd1;;;;;;;;;;;;;;;;
Itpk1;;;;;;;;;;;;;;St3gal6;Gnl2;;;;;;;;;;;;;;;;
Cxx1b;;;;;;;;;;;;;;Pabpc4;Ninj1;;;;;;;;;;;;;;;;
Lrp1b;;;;;;;;;;;;;;Rpl41;Ndufa1;;;;;;;;;;;;;;;;
Snapin;;;;;;;;;;;;;;Abcg2;;;;;;;;;;;;;;;;;
Gm8797;;;;;;;;;;;;;;Nhp2;;;;;;;;;;;;;;;;;
Phlda3;;;;;;;;;;;;;;Ska1;;;;;;;;;;;;;;;;;
Aplp2;;;;;;;;;;;;;;Chaf1b;;;;;;;;;;;;;;;;;
Ywhae;;;;;;;;;;;;;;Cox5a;;;;;;;;;;;;;;;;;
Tmem59;;;;;;;;;;;;;;Slc16a10;;;;;;;;;;;;;;;;;
Rsrp1;;;;;;;;;;;;;;Fbxo7;;;;;;;;;;;;;;;;;
Nfasc;;;;;;;;;;;;;;Rps21;;;;;;;;;;;;;;;;;
Myrf;;;;;;;;;;;;;;Rps16;;;;;;;;;;;;;;;;;
Ccdc13;;;;;;;;;;;;;;Cdk4;;;;;;;;;;;;;;;;;
Ypel3;;;;;;;;;;;;;;Nol7;;;;;;;;;;;;;;;;;
Map7;;;;;;;;;;;;;;Pnp2;;;;;;;;;;;;;;;;;
Ilvbl;;;;;;;;;;;;;;Ndufb7;;;;;;;;;;;;;;;;;
Bcl2l1;;;;;;;;;;;;;;Rpa1;;;;;;;;;;;;;;;;;
Rufy3;;;;;;;;;;;;;;Vamp5;;;;;;;;;;;;;;;;;
Fah;;;;;;;;;;;;;;Stmn1;;;;;;;;;;;;;;;;;
Adssl1;;;;;;;;;;;;;;Psmd7;;;;;;;;;;;;;;;;;
Myo6;;;;;;;;;;;;;;Snx3;;;;;;;;;;;;;;;;;
Dpy19l1;;;;;;;;;;;;;;Psma2;;;;;;;;;;;;;;;;;
Cltb;;;;;;;;;;;;;;Sh2d4a;;;;;;;;;;;;;;;;;
Acaa1a;;;;;;;;;;;;;;Slc39a8;;;;;;;;;;;;;;;;;
Dnajb1;;;;;;;;;;;;;;Ttll12;;;;;;;;;;;;;;;;;
Tprn;;;;;;;;;;;;;;Ssx2ip;;;;;;;;;;;;;;;;;
Fbxo2;;;;;;;;;;;;;;Top2a;;;;;;;;;;;;;;;;;
Ndfip2;;;;;;;;;;;;;;Lpcat3;;;;;;;;;;;;;;;;;
Pak1;;;;;;;;;;;;;;Xpnpep1;;;;;;;;;;;;;;;;;
Plk3;;;;;;;;;;;;;;Cyb5a;;;;;;;;;;;;;;;;;
Chn2;;;;;;;;;;;;;;Atp5d;;;;;;;;;;;;;;;;;
Bcas1;;;;;;;;;;;;;;Eef1b2;;;;;;;;;;;;;;;;;
Mrfap1;;;;;;;;;;;;;;Dscc1;;;;;;;;;;;;;;;;;
Sox8;;;;;;;;;;;;;;Aunip;;;;;;;;;;;;;;;;;
Arrdc3;;;;;;;;;;;;;;Acp5;;;;;;;;;;;;;;;;;
Pgp;;;;;;;;;;;;;;Hmmr;;;;;;;;;;;;;;;;;
Insc;;;;;;;;;;;;;;Gypc;;;;;;;;;;;;;;;;;
Map6d1;;;;;;;;;;;;;;Atp5a1;;;;;;;;;;;;;;;;;
Tmcc2;;;;;;;;;;;;;;Rgs12;;;;;;;;;;;;;;;;;
Kcna1;;;;;;;;;;;;;;Pbk;;;;;;;;;;;;;;;;;
Acot1;;;;;;;;;;;;;;2700029M09Rik;;;;;;;;;;;;;;;;;
Ephb1;;;;;;;;;;;;;;Mrpl51;;;;;;;;;;;;;;;;;
Rnd2;;;;;;;;;;;;;;Emc9;;;;;;;;;;;;;;;;;
Lmbrd1;;;;;;;;;;;;;;Pgp;;;;;;;;;;;;;;;;;
Eml1;;;;;;;;;;;;;;Syce2;;;;;;;;;;;;;;;;;
Pithd1;;;;;;;;;;;;;;Txn2;;;;;;;;;;;;;;;;;
Cfl1;;;;;;;;;;;;;;Srsf7;;;;;;;;;;;;;;;;;
Klhl4;;;;;;;;;;;;;;Ndufs7;;;;;;;;;;;;;;;;;
Aldoc;;;;;;;;;;;;;;Lockd;;;;;;;;;;;;;;;;;
Enoph1;;;;;;;;;;;;;;Alas2;;;;;;;;;;;;;;;;;
Elovl5;;;;;;;;;;;;;;Mrpl14;;;;;;;;;;;;;;;;;
Rab6a;;;;;;;;;;;;;;Apip;;;;;;;;;;;;;;;;;
Sec62;;;;;;;;;;;;;;Grina;;;;;;;;;;;;;;;;;
Ttyh2;;;;;;;;;;;;;;Mthfd1;;;;;;;;;;;;;;;;;
Ctnnbip1;;;;;;;;;;;;;;Hist1h4i;;;;;;;;;;;;;;;;;
Gnao1;;;;;;;;;;;;;;Rnaseh2a;;;;;;;;;;;;;;;;;
Fis1;;;;;;;;;;;;;;Gm11837;;;;;;;;;;;;;;;;;
Arc;;;;;;;;;;;;;;Pdzk1ip1;;;;;;;;;;;;;;;;;
Serpind1;;;;;;;;;;;;;;Bag1;;;;;;;;;;;;;;;;;
Ube2d1;;;;;;;;;;;;;;Ccne2;;;;;;;;;;;;;;;;;
Hspa8;;;;;;;;;;;;;;Ppm1g;;;;;;;;;;;;;;;;;
Opalin;;;;;;;;;;;;;;Eif1ax;;;;;;;;;;;;;;;;;
Ncald;;;;;;;;;;;;;;Hnrnpab;;;;;;;;;;;;;;;;;
Slc2a1;;;;;;;;;;;;;;Cenpm;;;;;;;;;;;;;;;;;
Pura;;;;;;;;;;;;;;Haus4;;;;;;;;;;;;;;;;;
Gamt;;;;;;;;;;;;;;Gpsm2;;;;;;;;;;;;;;;;;
Tppp;;;;;;;;;;;;;;Oip5;;;;;;;;;;;;;;;;;
Atp1b3;;;;;;;;;;;;;;Gins2;;;;;;;;;;;;;;;;;
Reep5;;;;;;;;;;;;;;Dnajc8;;;;;;;;;;;;;;;;;
Lzts2;;;;;;;;;;;;;;Pigq;;;;;;;;;;;;;;;;;
Deb1;;;;;;;;;;;;;;Cd82;;;;;;;;;;;;;;;;;
Elovl1;;;;;;;;;;;;;;Zfpm1;;;;;;;;;;;;;;;;;
Adamts4;;;;;;;;;;;;;;Mfsd2b;;;;;;;;;;;;;;;;;
Abhd17b;;;;;;;;;;;;;;Pfkm;;;;;;;;;;;;;;;;;
Nipal4;;;;;;;;;;;;;;March5;;;;;;;;;;;;;;;;;
Cyp2j12;;;;;;;;;;;;;;Odc1;;;;;;;;;;;;;;;;;
Fam168a;;;;;;;;;;;;;;Creg1;;;;;;;;;;;;;;;;;
Pla2g16;;;;;;;;;;;;;;Smim5;;;;;;;;;;;;;;;;;
Apbb2;;;;;;;;;;;;;;Cdc45;;;;;;;;;;;;;;;;;
Pls1;;;;;;;;;;;;;;Ndufc2;;;;;;;;;;;;;;;;;
Bpnt1;;;;;;;;;;;;;;Rpl28;;;;;;;;;;;;;;;;;
Sepw1;;;;;;;;;;;;;;Rps3;;;;;;;;;;;;;;;;;
Gng8;;;;;;;;;;;;;;5730508B09Rik;;;;;;;;;;;;;;;;;
Secisbp2l;;;;;;;;;;;;;;Gclc;;;;;;;;;;;;;;;;;
Stxbp3;;;;;;;;;;;;;;Klhl12;;;;;;;;;;;;;;;;;
Rasgrp3;;;;;;;;;;;;;;Dhrs4;;;;;;;;;;;;;;;;;
Txndc16;;;;;;;;;;;;;;Snrnp40;;;;;;;;;;;;;;;;;
Slc35a2;;;;;;;;;;;;;;Pfdn6;;;;;;;;;;;;;;;;;
Rtkn;;;;;;;;;;;;;;Pck2;;;;;;;;;;;;;;;;;
Hist1h2bc;;;;;;;;;;;;;;Epb42;;;;;;;;;;;;;;;;;
Ociad1;;;;;;;;;;;;;;Ncapg2;;;;;;;;;;;;;;;;;
Ppp1r16b;;;;;;;;;;;;;;Hist1h2ae;;;;;;;;;;;;;;;;;
Spg20;;;;;;;;;;;;;;Pdap1;;;;;;;;;;;;;;;;;
Gkap1;;;;;;;;;;;;;;Rpain;;;;;;;;;;;;;;;;;
Mapre2;;;;;;;;;;;;;;Sptb;;;;;;;;;;;;;;;;;
Rab14;;;;;;;;;;;;;;Rps15a;;;;;;;;;;;;;;;;;
Plcl1;;;;;;;;;;;;;;Spta1;;;;;;;;;;;;;;;;;
Ank3;;;;;;;;;;;;;;Rpl35;;;;;;;;;;;;;;;;;
BC031181;;;;;;;;;;;;;;Gatm;;;;;;;;;;;;;;;;;
Usp31;;;;;;;;;;;;;;Hbb-bs;;;;;;;;;;;;;;;;;
Tmem229a;;;;;;;;;;;;;;Cdkn3;;;;;;;;;;;;;;;;;
Anks1b;;;;;;;;;;;;;;Nap1l1;;;;;;;;;;;;;;;;;
Ninj2;;;;;;;;;;;;;;Atg4b;;;;;;;;;;;;;;;;;
2310022B05Rik;;;;;;;;;;;;;;Spire1;;;;;;;;;;;;;;;;;
Rabac1;;;;;;;;;;;;;;mt-Atp6;;;;;;;;;;;;;;;;;
Eid1;;;;;;;;;;;;;;Dtl;;;;;;;;;;;;;;;;;
Hsp90aa1;;;;;;;;;;;;;;Med8;;;;;;;;;;;;;;;;;
Stard3;;;;;;;;;;;;;;Epn1;;;;;;;;;;;;;;;;;
Actr1a;;;;;;;;;;;;;;Dck;;;;;;;;;;;;;;;;;
Vimp;;;;;;;;;;;;;;Rpl32;;;;;;;;;;;;;;;;;
Atp6v0d1;;;;;;;;;;;;;;Hint1;;;;;;;;;;;;;;;;;
Dctn3;;;;;;;;;;;;;;Pycr2;;;;;;;;;;;;;;;;;
Limch1;;;;;;;;;;;;;;Mrpl30;;;;;;;;;;;;;;;;;
Hdhd2;;;;;;;;;;;;;;Pxmp2;;;;;;;;;;;;;;;;;
Bhlhe41;;;;;;;;;;;;;;Vkorc1l1;;;;;;;;;;;;;;;;;
Pou3f1;;;;;;;;;;;;;;Carhsp1;;;;;;;;;;;;;;;;;
Snx15;;;;;;;;;;;;;;Ube2l6;;;;;;;;;;;;;;;;;
Slu7;;;;;;;;;;;;;;Rpia;;;;;;;;;;;;;;;;;
Specc1;;;;;;;;;;;;;;Ruvbl1;;;;;;;;;;;;;;;;;
Tyro3;;;;;;;;;;;;;;Prkar2b;;;;;;;;;;;;;;;;;
Phldb1;;;;;;;;;;;;;;Cox8a;;;;;;;;;;;;;;;;;
Grhpr;;;;;;;;;;;;;;1300002E11Rik;;;;;;;;;;;;;;;;;
Daam2;;;;;;;;;;;;;;Nudt5;;;;;;;;;;;;;;;;;
Igsf8;;;;;;;;;;;;;;Anp32e;;;;;;;;;;;;;;;;;
Ppp2r1a;;;;;;;;;;;;;;Gins1;;;;;;;;;;;;;;;;;
Slc35e4;;;;;;;;;;;;;;Rpl36al;;;;;;;;;;;;;;;;;
Hiat1;;;;;;;;;;;;;;Osgepl1;;;;;;;;;;;;;;;;;
Iqsec1;;;;;;;;;;;;;;Orc5;;;;;;;;;;;;;;;;;
Npc1;;;;;;;;;;;;;;Rfc3;;;;;;;;;;;;;;;;;
Nfe2l3;;;;;;;;;;;;;;Tacc3;;;;;;;;;;;;;;;;;
Aif1l;;;;;;;;;;;;;;Uhrf1;;;;;;;;;;;;;;;;;
Nrbp2;;;;;;;;;;;;;;Banf1;;;;;;;;;;;;;;;;;
Laptm4b;;;;;;;;;;;;;;Ptrh2;;;;;;;;;;;;;;;;;
Trim13;;;;;;;;;;;;;;Stom;;;;;;;;;;;;;;;;;
Atp6ap2;;;;;;;;;;;;;;Hnrnpa2b1;;;;;;;;;;;;;;;;;
Smdt1;;;;;;;;;;;;;;Gm28727;;;;;;;;;;;;;;;;;
Gabarap;;;;;;;;;;;;;;Mkrn1;;;;;;;;;;;;;;;;;
Mpzl1;;;;;;;;;;;;;;Ybx3;;;;;;;;;;;;;;;;;
Tm7sf3;;;;;;;;;;;;;;Ucp2;;;;;;;;;;;;;;;;;
Psap;;;;;;;;;;;;;;Aldh1a7;;;;;;;;;;;;;;;;;
Atp2c1;;;;;;;;;;;;;;Atp8a1;;;;;;;;;;;;;;;;;
Prox1;;;;;;;;;;;;;;Mrpl35;;;;;;;;;;;;;;;;;
Igsf11;;;;;;;;;;;;;;Hist1h1b;;;;;;;;;;;;;;;;;
Fam131b;;;;;;;;;;;;;;Rangap1;;;;;;;;;;;;;;;;;
Mat2a;;;;;;;;;;;;;;Rnf187;;;;;;;;;;;;;;;;;
Ube2e2;;;;;;;;;;;;;;Rpl36a;;;;;;;;;;;;;;;;;
Trim3;;;;;;;;;;;;;;Fam213a;;;;;;;;;;;;;;;;;
Slc25a27;;;;;;;;;;;;;;Slc11a2;;;;;;;;;;;;;;;;;
Pnkd;;;;;;;;;;;;;;Dap3;;;;;;;;;;;;;;;;;
Papss1;;;;;;;;;;;;;;Pbdc1;;;;;;;;;;;;;;;;;
Rac1;;;;;;;;;;;;;;Cfdp1;;;;;;;;;;;;;;;;;
S100a1;;;;;;;;;;;;;;Snrpb;;;;;;;;;;;;;;;;;
Kif3a;;;;;;;;;;;;;;Ccnf;;;;;;;;;;;;;;;;;
Puf60;;;;;;;;;;;;;;Dtwd1;;;;;;;;;;;;;;;;;
Rab31;;;;;;;;;;;;;;Tpx2;;;;;;;;;;;;;;;;;
Abcg1;;;;;;;;;;;;;;Sri;;;;;;;;;;;;;;;;;
Sulf2;;;;;;;;;;;;;;Aaas;;;;;;;;;;;;;;;;;
Fermt2;;;;;;;;;;;;;;Pitrm1;;;;;;;;;;;;;;;;;
P4htm;;;;;;;;;;;;;;A430005L14Rik;;;;;;;;;;;;;;;;;
Rab3a;;;;;;;;;;;;;;Slc43a3;;;;;;;;;;;;;;;;;
Paqr6;;;;;;;;;;;;;;Rbm3;;;;;;;;;;;;;;;;;
Fbxo7;;;;;;;;;;;;;;Usp15;;;;;;;;;;;;;;;;;
Inf2;;;;;;;;;;;;;;Dmtn;;;;;;;;;;;;;;;;;
Msmp;;;;;;;;;;;;;;Mylk3;;;;;;;;;;;;;;;;;
Pmm1;;;;;;;;;;;;;;Tmx1;;;;;;;;;;;;;;;;;
Gpd2;;;;;;;;;;;;;;Mybl2;;;;;;;;;;;;;;;;;
Eif4a2;;;;;;;;;;;;;;Dlgap5;;;;;;;;;;;;;;;;;
Pik3c2b;;;;;;;;;;;;;;Stx2;;;;;;;;;;;;;;;;;
Plpp2;;;;;;;;;;;;;;Impdh2;;;;;;;;;;;;;;;;;
Rffl;;;;;;;;;;;;;;Mtch2;;;;;;;;;;;;;;;;;
Gab1;;;;;;;;;;;;;;Psma3;;;;;;;;;;;;;;;;;
Tspyl4;;;;;;;;;;;;;;Rpl6;;;;;;;;;;;;;;;;;
Vamp2;;;;;;;;;;;;;;Timm8b;;;;;;;;;;;;;;;;;
Lamp2;;;;;;;;;;;;;;Pfdn1;;;;;;;;;;;;;;;;;
Agap1;;;;;;;;;;;;;;Isca2;;;;;;;;;;;;;;;;;
Chmp7;;;;;;;;;;;;;;Psmd14;;;;;;;;;;;;;;;;;
Mmd2;;;;;;;;;;;;;;Mrpl52;;;;;;;;;;;;;;;;;
Faim;;;;;;;;;;;;;;Psmc6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rbx1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Acss1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;St3gal5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Atp5l;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Them6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pdia2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Clcn3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Blvra;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Actl6a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Orc2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Dnaaf2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Sox6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Steap3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;2810417H13Rik;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rad23a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cisd1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rfc2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Serbp1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Uqcrq;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ackr1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Atp5h;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Zwint;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1700037H04Rik;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;6030468B19Rik;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ncapd2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Sgol1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Bloc1s5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Scoc;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Timm13;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tmpo;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Fcf1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Anapc15;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ncapg;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Lrr1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Get4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eef1e1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Itpa;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Slc25a3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Chac2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Clspn;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Lpcat1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Eif3f;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cenpp;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Atp1b2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Slc25a37;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl22;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmc3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Supt4a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Swi5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Btf3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tmem9;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nmral1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Hnrnpc;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pmf1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl49;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Spata24;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cenpu;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Magoh;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Snrpc;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ndufa4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Acot13;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Isca1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ap1b1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Bysl;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ppil1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;U2af1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ndufb6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Snrpg;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmb3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Bag2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rpl29;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Uqcrb;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tnfaip2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Sdsl;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Narf;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rad54l;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Slc6a20a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pradc1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Thoc7;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tubg1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nmnat3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Slc16a6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tom1l1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nup35;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Btrc;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Polr2l;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ndufv2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Oard1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Exosc7;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pcmt1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nuf2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pmm1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ubxn2b;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Gemin2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cenpf;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Mrpl55;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Kif20a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;E2f2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Daam1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Atg4d;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pop5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Gstp1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Donson;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Psmb1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Coq7;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;2700097O09Rik;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Orc1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Wrap73;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ubxn2a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ndufa9;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Pdcd5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Snrnp25;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Atp5c1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Fancl;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Rpl7a;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Gfer;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Aplf;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nsmce1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ppid;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Cetn3;;;;;;;;;;;;;;;;;
